,corr_day_close,corr_day_vol,corr_open_close,day_high,day_low,div_freq,dividend,eps,ex_div_date,market_cap,open,prev_close,price_precent_change_5d,quote_price,quote_price_change,quote_price_change_percent,quote_symbol,quote_volume,yield
1986,-0.9569874167536978,0.11264535375433164,0.8946750577612212,0.00,0.00,N/A,N A,0.030000,N/A,10762626,0.00,0.045,-50.0,0.045,0.0,0.0,TMI,300,N/A
1987,-0.5917298040572425,-0.44939071332554226,0.5890934594415346,7.95,7.85,Monthly,0.033 CAD,-0.030000,04/29/2019,338008981,7.88,7.92,0.51,7.95,0.03,0.38,BDT,49377,4.906
1988,-0.12654800784587378,-0.4523855101873906,0.6011964786731477,23.58,23.30,Quarterly,0.330 CAD,1.050000,03/28/2019,3373054293,23.48,23.49,0.51,23.33,-0.16,-0.68,GEI,201398,5.658
1989,-0.794472030757783,0.2489386816049795,0.9993539216278664,0.00,0.00,Quarterly,0.623 CAD,N/A,12/28/2018,3499500,0.00,23.33,-0.69,23.33,0.0,0.0,FSR,40,0.069
1990,-0.8486589138492932,0.19210081491591363,0.395552212465911,N/A,N/A,N/A,N A,-0.040000,N/A,0,N/A,0.00,-4.11,0.0,0.0,0.0,WRN,0,N/A
1991,-0.41748286072343327,-0.2742662906146801,0.5000000000000013,0.185,0.175,N/A,N A,-0.110000,N/A,9921667,0.175,0.175,-5.56,0.18,0.005,2.86,E,133750,N/A
1992,-0.7653631296654311,-0.22604835095349343,0.7809803805557342,23.13,22.86,Monthly,0.115 CAD,1.180000,05/15/2019,6608350127,22.95,22.91,-2.06,23.13,0.22,0.96,HR.UN,270604,5.966
1993,-0.6524512178459714,-0.40234352363574555,-0.2736639040767544,N/A,N/A,Quarterly,0.097 CAD,N/A,03/21/2019,12705000,N/A,25.41,-0.43,25.41,0.0,0.0,RUEH,0,2.377
1994,0.27730302228847226,0.4119529778495201,0.5403782891364515,4.67,4.60,Quarterly,0.125 CAD,1.530000,03/14/2019,696727299,4.60,4.60,2.36,4.66,0.06,1.3,JE,201642,10.730
1995,,,,25.99,25.91,Quarterly,0.344 CAD,N/A,04/09/2019,727720000,25.95,25.95,,25.99,0.04,0.15,TD.PF.G,16740,5.290
1996,-0.3783043025391402,-0.06635610604147361,0.7941217571605033,26.99,26.90,Quarterly,0.070 CAD,N/A,03/18/2019,140348000,26.91,26.87,-0.49,26.99,0.12,0.45,MUS,3000,1.019
